"Pergunta","Resposta","Tags","Mnemônico","Dificuldade","Hint"
"A camada mais SUPERIOR do teto do 3V é o ___.","Fórnice (corpo)","anatomia-teto,limites","FSVIP - Fórnice, Superior tela, Velum, Inferior tela, Plexo","M",""
"Abaixo do fórnice no teto do 3V está a ___.","Camada superior da tela coroídea","anatomia-teto,limites","FSVIP","M",""
"O espaço entre as duas camadas da tela coroídea no teto do 3V é o ___.","Velum interpositum","anatomia-teto,limites","FSVIP","M",""
"Abaixo do velum interpositum está a ___.","Camada inferior da tela coroídea","anatomia-teto,limites","FSVIP","M",""
"A estrutura mais INFERIOR do teto do 3V é o ___.","Plexo coroide","anatomia-teto,limites","FSVIP","M",""
"O velum interpositum é um espaço ___ entre as duas camadas da tela coroídea.","Triangular","anatomia-teto,velum","Triângulo com vértice anterior","M",""
"O velum interpositum contém as ___.","Veias cerebrais internas (VCIs)","anatomia-teto,vascular","VCI + ACPM navegam no velum","M",""
"Além das VCIs, o velum interpositum também contém as ___.","Artérias coroidais posteriores mediais (ACPMs)","anatomia-teto,vascular","VCI + ACPM navegam no velum","M",""
"O limite POSTERIOR do velum interpositum é a ___.","Margem inferior do esplênio do corpo caloso","anatomia-teto,velum","","M",""
"O limite ANTERIOR do velum interpositum é ___.","Posteriormente ao forame de Monro","anatomia-teto,velum","","M",""
"O velum interpositum é mais largo ___ (anterior/posteriormente).","Posteriormente","anatomia-teto,velum","Triângulo com base posterior","M",""
"A margem ANTERIOR do forame de Monro é formada pelas ___.","Colunas do fórnice","forame-monro,limites","Colunas na frente, tálamo atrás","M",""
"A margem POSTERIOR do forame de Monro é formada pelo ___.","Polo anterior do tálamo","forame-monro,limites","Colunas na frente, tálamo atrás","M",""
"A única parte da cápsula interna que chega à superfície ventricular é o ___.","Genu da cápsula interna","forame-monro,cirurgico","Genu = genuflexão = ponto de risco","M",""
"CASO: Paciente pós-operatório de tumor do forame de Monro desenvolve hemiparesia. Qual estrutura foi lesada?","Genu da cápsula interna (lateral ao forame)","forame-monro,clinico","Genu lateral ao forame","D","Pense nas estruturas adjacentes ao forame de Monro"
"A veia talamoestriada passa ___ (anterior/posteriormente) no sulco estriotalâmico.","Anteriormente","forame-monro,vascular","","M",""
"A veia talamoestriada vira ___ na margem posterior do forame de Monro.","Medialmente","forame-monro,vascular","Anterior → medial → VCI","M",""
"Em ___% dos casos, a talamoestriada passa pela fissura coroidal ATRÁS do forame.","10-15%","forame-monro,variacao","10-15% variante","M",""
"Em ___% dos casos, a talamoestriada está AUSENTE e a veia talamocaudada assume.","4%","forame-monro,variacao","4% substituição","M",""
"A artéria que supre o plexo coroide do TERCEIRO ventrículo é a ___.","Artéria coroidal posterior MEDIAL","vascular-arterias,plexo","3V = Medial; VL = Anterior/Lateral","M",""
"A artéria coroidal posterior medial é geralmente ramo da ___.","P2 (segmento P2 da artéria cerebral posterior)","vascular-arterias,plexo","","M",""
"Alternativamente, a artéria coroidal posterior medial pode originar-se diretamente da ___.","Artéria basilar","vascular-arterias,plexo","","M",""
"O plexo coroide do VL é suprido por ___ artérias coroidais principais.","2 (anterior e posterior lateral)","vascular-arterias,plexo,atomizado","VL = Anterior + Lateral","E",""
"A estrutura mais ANTERIOR do assoalho do 3V é o ___.","Quiasma óptico","anatomia-assoalho,limites","QPTCMP - Quiasma, Pedúnculo, Túber, Corpos, Mesencéfalo, Perfurada","M",""
"Posterior ao quiasma óptico no assoalho do 3V está o ___.","Pedúnculo hipofisário (infundíbulo)","anatomia-assoalho,limites","QPTCMP","M",""
"Posterior ao pedúnculo hipofisário está o ___.","Túber cinéreo","anatomia-assoalho,limites","QPTCMP","M",""
"Posterior ao túber cinéreo estão os ___.","Corpos mamilares","anatomia-assoalho,limites","QPTCMP","M",""
"Posterior aos corpos mamilares está a ___.","Substância perfurada posterior","anatomia-assoalho,limites","QPTCMP","M",""
"A estrutura mais POSTERIOR do assoalho do 3V é o ___.","Tegmento mesencefálico","anatomia-assoalho,limites","QPTCMP","M",""
"O recesso óptico do 3V localiza-se ___ ao quiasma.","Anterior e superior","anatomia-recessos,limites","Óptico/Infundibular = anteriores; Supra/Pineal = posteriores","M",""
"O recesso infundibular do 3V projeta-se para o ___.","Pedúnculo hipofisário","anatomia-recessos,limites","","M",""
"O recesso suprapineal localiza-se ___ à glândula pineal.","Acima","anatomia-recessos,limites","","M",""
"O recesso pineal projeta-se para a ___ da pineal.","Base","anatomia-recessos,limites","","M",""
"O primeiro recesso ANTERIOR do 3V é o ___.","Recesso óptico","anatomia-recessos,limites","Anteriores no assoalho","M",""
"O segundo recesso ANTERIOR do 3V é o ___.","Recesso infundibular","anatomia-recessos,limites","Anteriores no assoalho","M",""
"O primeiro recesso POSTERIOR do 3V é o ___.","Recesso suprapineal","anatomia-recessos,limites","Posteriores na parede","M",""
"O segundo recesso POSTERIOR do 3V é o ___.","Recesso pineal","anatomia-recessos,limites","Posteriores na parede","M",""
"O sulco hipotalâmico divide a parede lateral do 3V em duas regiões. ACIMA do sulco está o ___.","Tálamo","anatomia-lateral,limites","Sulco separa T de H","M",""
"O sulco hipotalâmico divide a parede lateral do 3V em duas regiões. ABAIXO do sulco está o ___.","Hipotálamo","anatomia-lateral,limites","Sulco separa T de H","M",""
